event_month,aar,std,n,se,t_stat,api,news,size
-11,-0.0003017492625368678,0.0913227787588709,339,0.00495997249975774,-0.06083688217053747,0.9996982507374631,Bad,Large
-10,0.019606064896755163,0.09443350659870849,339,0.005128924044482024,3.8226467630863894,1.0192983995185942,Bad,Large
-9,0.001438979351032449,0.10002984607219675,339,0.005432875482064777,0.26486514476226525,1.020765148868042,Bad,Large
-8,-0.014195079646017697,0.09751848990032806,339,0.005296477337824608,-2.6800982503302775,1.006275306279981,Bad,Large
-7,0.02070204719764012,0.10322032535231616,339,0.0056061585304510156,3.692733105065197,1.0271072651644089,Bad,Large
-6,0.011098395280235988,0.09351958294631539,339,0.005079286525296181,2.185030363017141,1.0385065075884055,Bad,Large
-5,0.027250572271386428,0.10198264311707612,339,0.005538936858775448,4.919819988237058,1.0668064042277485,Bad,Large
-4,0.010374814159292034,0.0786737296379537,339,0.004272970454479527,2.428009804845643,1.0778743224155543,Bad,Large
-3,-0.00024779056047198,0.09344278661593242,339,0.0050751155211725815,-0.048824614816793205,1.0776072353330843,Bad,Large
-2,0.012797150442477874,0.1085675950592836,339,0.0058965823552163095,2.170265701649549,1.0913975372415448,Bad,Large
-1,0.008636401179941003,0.10597546039279943,339,0.005755796925379821,1.500470098564343,1.1008232842199621,Bad,Large
0,-0.008633147492625368,0.09017772515579468,339,0.004897781724803306,-1.7626648098475792,1.091319714443975,Bad,Large
1,-0.015442678466076694,0.10403227374230527,339,0.005650257513643391,-2.733092859712684,1.074466814990126,Bad,Large
2,0.01033579881656805,0.08044145936128372,338,0.0043754385694542925,2.3622315003401217,1.0855722878249425,Bad,Large
3,0.0014497278106508904,0.08182373632465993,338,0.004450624524399005,0.3257358158845485,1.0871460721610742,Bad,Large
4,-0.0006180801186943633,0.09815633465368064,337,0.0053469162561224194,-0.1155956235496747,1.0864741287877548,Bad,Large
5,0.003181349253731343,0.07934596205993084,335,0.004335133007725897,0.7338527440938196,1.089930582446572,Bad,Large
6,0.013545713432835824,0.07961404998465754,335,0.004349780215741066,3.114114451993768,1.1046944697780772,Bad,Large
7,0.03285744910179641,0.1048265093793386,334,0.005735851394825587,5.72843451478497,1.1409919120918464,Bad,Large
8,0.0037170300300300298,0.08541879560502802,333,0.0046809211647699705,0.794080886900109,1.145233013293113,Bad,Large
9,-0.013930006042296073,0.0925550773719805,331,0.005087287142999417,-2.7381992898641596,1.129279910498103,Bad,Large
10,-0.0039045304878048822,0.09595174547786946,328,0.005298048841333189,-0.7369751779831374,1.1248706026582975,Bad,Large
11,-0.027764764309764312,0.07801116775659954,297,0.004526667073811854,-6.133599811303093,1.0936388354965074,Bad,Large
12,-0.04871439682539683,0.05742011998884658,63,0.00723425513057033,-6.733851094018067,1.0403628792804656,Bad,Large
