event_month,aar,std,n,se,t_stat,api,news,event,model,surprise
-6,0.013475560669838056,0.0878387422340039,848,0.003016394792451576,4.467439309854328,0.9762291325373582,Good,FYE,MM (EW),TSUE
-5,-0.00815959530901603,0.10212561284315645,848,0.0035070079434353623,-2.326654356255358,0.9682634978869816,Good,FYE,MM (EW),TSUE
-4,0.008219974560752647,0.09938675232220588,848,0.0034129550870017197,2.4084625643210247,0.9762225992077181,Good,FYE,MM (EW),TSUE
-3,-0.006715398520991649,0.08410807275952066,848,0.002888283076721282,-2.325048598981104,0.9696668754088399,Good,FYE,MM (EW),TSUE
-2,-0.002755316346067203,0.0987218690075734,847,0.0033921235630848586,-0.8122688619165359,0.966995136416786,Good,FYE,MM (EW),TSUE
-1,0.0022916362072619443,0.1333222481217063,848,0.004578304797226156,0.5005425171016074,0.9692111374836451,Good,FYE,MM (EW),TSUE
0,-0.014104432179527332,0.10860770647602863,848,0.0037296039526802448,-3.781750651940219,0.9555409647273645,Good,FYE,MM (EW),TSUE
1,-0.006605689279134882,0.09884944021745096,848,0.0033945037135703214,-1.94599559656603,0.9492289580208907,Good,FYE,MM (EW),TSUE
2,-0.010554134998837469,0.12319894934853422,848,0.004230669290100159,-2.4946726570035462,0.9392106674531324,Good,FYE,MM (EW),TSUE
3,-0.0027696216073073796,0.102511660183779,846,0.0035244234767603756,-0.7858367831135876,0.9366094092947406,Good,FYE,MM (EW),TSUE
4,-0.010452448880733644,0.09582473835686099,844,0.0032984235213953223,-3.168922611948867,0.9268195473228732,Good,FYE,MM (EW),TSUE
5,-0.022073945446607356,0.11754323834190245,840,0.004055627025665829,-5.442794740964472,0.9063609831964188,Good,FYE,MM (EW),TSUE
6,-0.00996451548245144,0.08963726296990132,839,0.003094621985910342,-3.2199459345339676,0.8973295351466681,Good,FYE,MM (EW),TSUE
-12,-0.012557885110666139,0.0845145250822484,1040,0.00262068417187742,-4.791834607704694,1.0,Bad,FYE,MM (EW),TSUE
-11,-0.04530531667548376,0.08136626043833095,1040,0.002523060629496198,-17.956491471443663,0.9546946833245162,Bad,FYE,MM (EW),TSUE
-10,-0.0021706624687363755,0.08487327733494472,1040,0.002631808606989038,-0.8247797590493315,0.9526223634063214,Bad,FYE,MM (EW),TSUE
-9,-0.025300975823147994,0.1133309562880465,1040,0.0035142437709822583,-7.199550592381409,0.9285200880211881,Bad,FYE,MM (EW),TSUE
-8,-0.014075035792644176,0.09696587755151719,1040,0.0030067842215780304,-4.681092740754529,0.9154511345481009,Bad,FYE,MM (EW),TSUE
-7,-0.040220170084217695,0.11405261014144162,1040,0.0035366213070250445,-11.372484242043525,0.8786315342127862,Bad,FYE,MM (EW),TSUE
