event_month,aar,std,n,se,t_stat,api,news,spec
5,0.009268108009708736,0.10888741625200833,824,0.0037932728871843922,2.4433011505766236,0.998416632278476,Bad,Simple(EW)+SUE
6,0.014333829476248477,0.12269742288920082,821,0.004282169584494184,3.34732877655092,1.0127277660318061,Bad,Simple(EW)+SUE
7,0.013292594132029338,0.13772079266409268,818,0.0048152945932301685,2.7604944774754636,1.0261895451919039,Bad,Simple(EW)+SUE
8,-0.001821274630541872,0.10916244921967073,812,0.0038308509645839377,-0.47542299279702666,1.0243205722071185,Bad,Simple(EW)+SUE
9,-0.01223905328376704,0.13128467086202703,807,0.004621439290891287,-2.6483206882950583,1.011783858144217,Bad,Simple(EW)+SUE
10,-0.00822890101522843,0.12614934307912137,788,0.004493884276150062,-1.8311332712550799,1.003457988926742,Bad,Simple(EW)+SUE
11,-0.024928345514950167,0.10178364695583886,602,0.004148391752508091,-6.009158971034655,0.9784434414690393,Bad,Simple(EW)+SUE
12,-0.0556869022556391,0.05169962388584026,133,0.004482925929205941,-12.42199918870908,0.9239569571812818,Bad,Simple(EW)+SUE
-12,0.02597982174136959,0.10738712549723022,1344,0.0029292239955641653,8.869182343416488,1.0,Good,MM(VW)+SUE
-11,-0.004766038907665872,0.11225598371112903,1344,0.0030620329914760633,-1.55649495643363,0.9952339610923341,Good,MM(VW)+SUE
-10,-0.030133692743534612,0.1068980210152162,1344,0.0029158825770429072,-10.334329983237591,0.9652438867008467,Good,MM(VW)+SUE
-9,-0.027299282040804458,0.11719462176916899,1344,0.0031967453886841456,-8.539711087857853,0.9388934215996381,Good,MM(VW)+SUE
-8,-0.011638487008778483,0.13007217454605693,1344,0.003548009438481037,-3.2802863720004973,0.9279661227097231,Good,MM(VW)+SUE
-7,0.002948011049548863,0.1038825934455962,1344,0.0028336300467426668,1.04036553852105,0.9307017770930783,Good,MM(VW)+SUE
-6,0.005538657494494661,0.10529338907433518,1344,0.002872112652449864,1.9284262717795135,0.9358566154659144,Good,MM(VW)+SUE
-5,-0.003383400566803043,0.11712996200396471,1344,0.0031949816489908914,-1.0589733959416205,0.9326902376627005,Good,MM(VW)+SUE
-4,-0.015441386859273723,0.08231974740633051,1344,0.002245455200471156,-6.876728983964458,0.9182882068830828,Good,MM(VW)+SUE
-3,-0.0164093699923035,0.11481744379639612,1343,0.003133068336352099,-5.237475927961818,0.9032196759367693,Good,MM(VW)+SUE
-2,0.01599282402542761,0.13973186043724278,1344,0.0038114989729206568,4.195940793648623,0.91766470927033,Good,MM(VW)+SUE
-1,0.021730512640104276,0.12099995926569014,1344,0.00330054447869999,6.583917526438981,0.9376060338345064,Good,MM(VW)+SUE
0,-0.0057336963226031394,0.11758009136021906,1344,0.00320725993379778,-1.787724238432323,0.932230085566259,Good,MM(VW)+SUE
1,0.00361700807185072,0.1381265410686063,1344,0.0037677102971983034,0.9600016419893943,0.9356019693105743,Good,MM(VW)+SUE
2,-0.008632447576221206,0.09641719240690444,1340,0.002633916978659383,-3.2774182505232066,0.9275254343582915,Good,MM(VW)+SUE
3,-0.006241631867259692,0.10569188277549113,1337,0.002890519681198483,-2.15934591549702,0.9217361620495069,Good,MM(VW)+SUE
4,-0.027413042824592084,0.11772234974032744,1331,0.0032267839960963517,-8.495468819033256,0.8964685691662686,Good,MM(VW)+SUE
5,-0.026402224644214656,0.106145981082771,1330,0.0029105678979779587,-9.0711591585123,0.8727998046166632,Good,MM(VW)+SUE
6,0.0238270729781668,0.12288399918334453,1327,0.003373338130047508,7.063351511053899,0.8935960692565942,Good,MM(VW)+SUE
7,-0.004070826415750461,0.13236502195671832,1326,0.003634975382499096,-1.1199048101810558,0.8899583947728537,Good,MM(VW)+SUE
8,-0.010871769076673971,0.0964611254822139,1320,0.0026550050974806136,-4.094820415595588,0.8802829726170357,Good,MM(VW)+SUE
9,-0.006635224915734134,0.11542003968973154,1314,0.0031840768169980284,-2.0838771477849813,0.8744420971042307,Good,MM(VW)+SUE
10,0.004106307874713044,0.1342197176335532,1292,0.0037340924313803365,1.0996802972001192,0.8780328255735503,Good,MM(VW)+SUE
11,-0.018655904034211242,0.09535073393779916,1114,0.0028568105752579597,-6.530325880121289,0.8616523294407629,Good,MM(VW)+SUE
12,-0.04188057560498247,0.0764287982803903,209,0.005286690522644855,-7.921889020284514,0.8255658339124097,Good,MM(VW)+SUE
-12,0.020819614351254852,0.11817150191408093,841,0.004074879376347618,5.109259054906262,1.0,Bad,MM(VW)+SUE
-11,-0.015209563190393854,0.11889166716707084,841,0.004099712660933477,-3.709909559108159,0.9847904368096061,Bad,MM(VW)+SUE
-10,-0.03757811886493161,0.12293228582881775,841,0.00423904433892475,-8.864761927558288,0.9477838647181268,Bad,MM(VW)+SUE
-9,-0.031093591334531573,0.14200128089251227,841,0.004896595892845251,-6.350042359012009,0.9183138605551184,Bad,MM(VW)+SUE
-8,-0.02567225521320351,0.12997309039498658,841,0.0044818307032754,-5.7280733951958025,0.8947386727611253,Bad,MM(VW)+SUE
-7,0.003508478835424968,0.11664514138990166,841,0.004022246254824195,0.8722685318475901,0.8978778444577439,Bad,MM(VW)+SUE
-6,0.0026325145846832526,0.1118743955290285,841,0.0038577377768630517,0.6823985291255077,0.9002415209785428,Bad,MM(VW)+SUE
-5,-0.000774829839474932,0.12373030597265613,841,0.0042665622749191775,-0.1816051869275973,0.8995439869853543,Bad,MM(VW)+SUE
-4,-0.01706842606012083,0.09984854878414566,841,0.00344305340634985,-4.957351526596245,0.8841901869556684,Bad,MM(VW)+SUE
-3,-0.02362122602069666,0.13328368213224698,841,0.004595989039042999,-5.1395305384834415,0.8633045307043067,Bad,MM(VW)+SUE
-2,0.01000068166745063,0.15354524779118295,841,0.005294663716937343,1.8888228227713482,0.8719381644979483,Bad,MM(VW)+SUE
-1,0.028598627131181123,0.1468311718150857,841,0.0050631438556926105,5.648393161696763,0.8968743989458716,Bad,MM(VW)+SUE
0,-0.017358333744600093,0.13351881724436399,841,0.004604097146357379,-3.7701927637068815,0.8813061538019816,Bad,MM(VW)+SUE
1,-0.044224380375982246,0.14467663875834436,841,0.004988849612356702,-8.8646449206335,0.8423309352285488,Bad,MM(VW)+SUE
2,-0.021801165646229616,0.1087913057221561,835,0.003764878380828934,-5.790669296847122,0.8239671389806877,Bad,MM(VW)+SUE
3,-0.018108464175577894,0.113315420519974,834,0.003923792109366681,-4.6150416920280435,0.8090463595626025,Bad,MM(VW)+SUE
4,-0.017984365891318868,0.1381461741911308,828,0.004800911427615037,-3.746031594724299,0.7944961738091891,Bad,MM(VW)+SUE
5,-0.012284506287955629,0.12009957228160935,824,0.004183866850544985,-2.936160907308861,0.7847361805662735,Bad,MM(VW)+SUE
6,0.015809657954816352,0.13273143475434818,821,0.004632359013152261,3.4128740691145354,0.7971425911657953,Bad,MM(VW)+SUE
7,-0.0025603497328999967,0.1525291485532013,818,0.005333056614985104,-0.48009048426483814,0.7951016273454208,Bad,MM(VW)+SUE
8,-0.008885052103330243,0.11197751377989097,812,0.003929640363896376,-2.26103441550575,0.788037107959014,Bad,MM(VW)+SUE
9,-0.010334124381744298,0.13261195735596906,807,0.004668161988317398,-2.213745882770694,0.7798934344679356,Bad,MM(VW)+SUE
10,-0.010296573938021586,0.12607047492836118,788,0.00449107471461023,-2.292674825587978,0.7718632040561588,Bad,MM(VW)+SUE
11,-0.012317347747312886,0.10562017626810014,602,0.004304757013856464,-2.861334032946555,0.762355896558444,Bad,MM(VW)+SUE
12,-0.04918092157623481,0.05250491393172419,133,0.004552753431920391,-10.80245664775434,0.7248625309966231,Bad,MM(VW)+SUE
-12,0.008288198483602958,0.0701086109455501,1344,0.0019123691459892432,4.333995087185734,1.0,Good,FFC+SUE
-11,-0.006928161230431763,0.0927960500801564,1344,0.002531219783840653,-2.737084023545191,0.9930718387695684,Good,FFC+SUE
-10,0.0033568454145750733,0.08453204295147052,1344,0.0023058005087760233,1.4558264697222099,0.9964054274178856,Good,FFC+SUE
-9,0.0012633826312678357,0.09390175819777666,1344,0.0025613804454211408,0.49324286578603554,0.9976642687285863,Good,FFC+SUE
-8,-0.009925341923724186,0.11367167179871755,1344,0.003100649049939287,-3.201052993700958,0.9877621097363727,Good,FFC+SUE
-7,0.0006583201826460212,0.09753136958145522,1344,0.0026603862127365006,0.2474528621048845,0.9884123734688651,Good,FFC+SUE
-6,-0.006418126436000338,0.09985652610476153,1344,0.0027238100566095453,-2.356304699157063,0.9820686178850347,Good,FFC+SUE
-5,0.003211080193093375,0.10519460120255066,1344,0.002869417992329649,1.1190702092469749,0.9852221189721839,Good,FFC+SUE
-4,-0.0023359820449038397,0.08197300031943114,1344,0.002235996898252574,-1.044716138349478,0.9829206577920228,Good,FFC+SUE
-3,-0.0008367410228196379,0.12141559868701447,1343,0.0033131147603327727,-0.25255419245894,0.9820982077554714,Good,FFC+SUE
-2,0.017236946830883556,0.1494385761616841,1344,0.004076271351234171,4.228606328100491,0.9990265823452584,Good,FFC+SUE
-1,-0.002696443038481567,0.1293009235311808,1344,0.0035269718423174574,-0.7645207160797244,0.9963327640720355,Good,FFC+SUE
0,0.00804281372615319,0.11975996164355698,1344,0.003266720770575047,2.4620450571100996,1.0043460829027304,Good,FFC+SUE
1,0.022456781182006818,0.14764144717613348,1344,0.00402725063927057,5.576206497560894,1.0269004631174827,Good,FFC+SUE
2,0.0019613760381562715,0.09669281399672917,1340,0.002641446386714128,0.7425386515590643,1.028914601079413,Good,FFC+SUE
3,-0.001047660750175069,0.10594714502252495,1337,0.0028975007333809435,-0.3615739378787345,1.02783664763658,Good,FFC+SUE
4,-0.019951640591387078,0.11855751005138021,1331,0.003249675842307579,-6.139578702477449,1.0073296202562787,Good,FFC+SUE
5,-0.01934795780300047,0.10883570390067585,1330,0.0029843212403880496,-6.483202123537032,0.9878398492698478,Good,FFC+SUE
6,0.0034716428160373562,0.1322838603587045,1327,0.0036313775032020624,0.9560126461586944,0.9912692763859609,Good,FFC+SUE
7,0.0022579970198986924,0.12697273071760337,1326,0.00348689361875446,0.6475669368729589,0.9935075594579574,Good,FFC+SUE
8,0.00035594873168470374,0.09999545624400534,1320,0.002752284350048209,0.1293284727933249,0.9938611972136657,Good,FFC+SUE
9,-0.004451731834375369,0.12423525030106801,1314,0.003427260824038433,-1.2989183090914493,0.9894367936830792,Good,FFC+SUE
10,-0.01033520992994463,0.13901693665688128,1292,0.0038675546347176283,-2.6722854377205736,0.9792107567079532,Good,FFC+SUE
